branch	status	old_path	new_path
aether	R100	crates/aether-ai-formats/src/formats/openai/embedding/response.rs	crates/aether-ai/formats/src/formats/openai/embedding/response.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/embedding/spec.rs	crates/aether-ai/formats/src/formats/openai/embedding/spec.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/image/mod.rs	crates/aether-ai/formats/src/formats/openai/image/mod.rs
aether	R055	crates/aether-ai-formats/src/formats/openai/image/request.rs	crates/aether-ai/formats/src/formats/openai/image/request.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/image/spec.rs	crates/aether-ai/formats/src/formats/openai/image/spec.rs
aether	R092	crates/aether-ai-formats/src/formats/openai/image/stream.rs	crates/aether-ai/formats/src/formats/openai/image/stream.rs
aether	R057	crates/aether-ai-formats/src/formats/openai/mod.rs	crates/aether-ai/formats/src/formats/openai/mod.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/rerank/mod.rs	crates/aether-ai/formats/src/formats/openai/rerank/mod.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/rerank/request.rs	crates/aether-ai/formats/src/formats/openai/rerank/request.rs
aether	R073	crates/aether-ai-formats/src/formats/openai/responses/spec.rs	crates/aether-ai/formats/src/formats/openai/responses/spec.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/responses/stream.rs	crates/aether-ai/formats/src/formats/openai/responses/stream.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/video/mod.rs	crates/aether-ai/formats/src/formats/openai/video/mod.rs
aether	R100	crates/aether-ai-formats/src/formats/openai/video/spec.rs	crates/aether-ai/formats/src/formats/openai/video/spec.rs
aether	R068	crates/aether-ai-formats/src/formats/shared/error_body.rs	crates/aether-ai/formats/src/formats/shared/error_body.rs
aether	R100	crates/aether-ai-formats/src/formats/shared/family.rs	crates/aether-ai/formats/src/formats/shared/family.rs
aether	R092	crates/aether-ai-formats/src/formats/shared/image_bridge.rs	crates/aether-ai/formats/src/formats/shared/image_bridge.rs
aether	R100	crates/aether-ai-formats/src/formats/shared/mod.rs	crates/aether-ai/formats/src/formats/shared/mod.rs
aether	R061	crates/aether-ai-formats/src/formats/shared/passthrough.rs	crates/aether-ai/formats/src/formats/shared/passthrough.rs
aether	R074	crates/aether-ai-formats/src/formats/shared/request.rs	crates/aether-ai/formats/src/formats/shared/request.rs
aether	R100	crates/aether-ai-formats/src/formats/shared/request_matrix.rs	crates/aether-ai/formats/src/formats/shared/request_matrix.rs
aether	R077	crates/aether-ai-formats/src/formats/shared/response.rs	crates/aether-ai/formats/src/formats/shared/response.rs
aether	R078	crates/aether-ai-formats/src/formats/shared/routing.rs	crates/aether-ai/formats/src/formats/shared/routing.rs
aether	R058	crates/aether-ai-formats/src/formats/shared/sse.rs	crates/aether-ai/formats/src/formats/shared/sse.rs
aether	R072	crates/aether-ai-formats/src/formats/shared/standard_matrix.rs	crates/aether-ai/formats/src/formats/shared/standard_matrix.rs
aether	R056	crates/aether-ai-formats/src/formats/shared/standard_normalize.rs	crates/aether-ai/formats/src/formats/shared/standard_normalize.rs
aether	R100	crates/aether-ai-formats/src/formats/shared/stream_core/mod.rs	crates/aether-ai/formats/src/formats/shared/stream_core/mod.rs
aether	R058	crates/aether-ai-formats/src/formats/shared/sync_products.rs	crates/aether-ai/formats/src/formats/shared/sync_products.rs
aether	R053	crates/aether-ai-formats/src/formats/shared/sync_to_stream.rs	crates/aether-ai/formats/src/formats/shared/sync_to_stream.rs
aether	R100	crates/aether-ai-formats/src/formats/shared/video.rs	crates/aether-ai/formats/src/formats/shared/video.rs
aether	R060	crates/aether-ai-formats/src/protocol/canonical.rs	crates/aether-ai/formats/src/protocol/canonical.rs
aether	R100	crates/aether-ai-formats/src/protocol/mod.rs	crates/aether-ai/formats/src/protocol/mod.rs
aether	R080	crates/aether-ai-formats/src/protocol/stream.rs	crates/aether-ai/formats/src/protocol/stream.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/state.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/state.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/decoder.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/decoder.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/state.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/state.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/state/blocks.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/state/blocks.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/state/events.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/state/events.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/state/finalize.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/state/finalize.rs
aether	R100	crates/aether-ai-formats/src/provider_compat/kiro_stream/stream/state/lifecycle.rs	crates/aether-ai/formats/src/provider_compat/kiro_stream/stream/state/lifecycle.rs
