version	driver	relationship	niffler_path	niffler_sha256	aether_path	aether_sha256
20260505130000	postgres	same_content	crates/aether-data/migrations/postgres/20260505130000_project_upstream_stream_in_usage_billing_facts.sql	cce55cbba145009e7f704651c5febe19c6436c9b8bc29724dcc0499f82c36597	crates/aether-data/adapters/postgres/migrations/20260505130000_project_upstream_stream_in_usage_billing_facts.sql	cce55cbba145009e7f704651c5febe19c6436c9b8bc29724dcc0499f82c36597
20260507000000	postgres	same_content	crates/aether-data/migrations/postgres/20260507000000_cascade_announcement_reads_on_delete.sql	d0681339435fd7ad0bd8ea388c29ea8c055c43515f3e8b2aef6bf717b33686e8	crates/aether-data/adapters/postgres/migrations/20260507000000_cascade_announcement_reads_on_delete.sql	d0681339435fd7ad0bd8ea388c29ea8c055c43515f3e8b2aef6bf717b33686e8
20260507120000	mysql	same_content	crates/aether-data/migrations/mysql/20260507120000_add_management_token_permissions.sql	a32866d8b00bb046d7752ee4650d514d6a7a9eb32a9a1c7204b124f4c40b1983	crates/aether-data/adapters/mysql/migrations/20260507120000_add_management_token_permissions.sql	a32866d8b00bb046d7752ee4650d514d6a7a9eb32a9a1c7204b124f4c40b1983
20260507120000	postgres	same_content	crates/aether-data/migrations/postgres/20260507120000_add_management_token_permissions.sql	1c1c705ce4c0d98d3a5df972ac03d7296b11e2016e7cffde5698bda86f610983	crates/aether-data/adapters/postgres/migrations/20260507120000_add_management_token_permissions.sql	1c1c705ce4c0d98d3a5df972ac03d7296b11e2016e7cffde5698bda86f610983
20260507120000	sqlite	same_content	crates/aether-data/migrations/sqlite/20260507120000_add_management_token_permissions.sql	f2bfceca289b5940eea17009f269b2f1bd3f5c6cfe115b949c6469283aa92ee1	crates/aether-data/adapters/sqlite/migrations/20260507120000_add_management_token_permissions.sql	f2bfceca289b5940eea17009f269b2f1bd3f5c6cfe115b949c6469283aa92ee1
20260508000000	mysql	same_content	crates/aether-data/migrations/mysql/20260508000000_add_proxy_node_metrics.sql	72035b2ab8d4119fe1fb501cc9d035806e3869e5ea9fdc3bc3c320d070a5d3f3	crates/aether-data/adapters/mysql/migrations/20260508000000_add_proxy_node_metrics.sql	72035b2ab8d4119fe1fb501cc9d035806e3869e5ea9fdc3bc3c320d070a5d3f3
20260508000000	postgres	same_content	crates/aether-data/migrations/postgres/20260508000000_add_proxy_node_metrics.sql	5a0ab860f5857ca92fa658df30ca768862aafc0755b75ce51bea77ca36106838	crates/aether-data/adapters/postgres/migrations/20260508000000_add_proxy_node_metrics.sql	5a0ab860f5857ca92fa658df30ca768862aafc0755b75ce51bea77ca36106838
20260508000000	sqlite	same_content	crates/aether-data/migrations/sqlite/20260508000000_add_proxy_node_metrics.sql	f1d18d10fab1f3185f1c08fb0d558f6f1a149eebbd4614dad043407739c13ea7	crates/aether-data/adapters/sqlite/migrations/20260508000000_add_proxy_node_metrics.sql	f1d18d10fab1f3185f1c08fb0d558f6f1a149eebbd4614dad043407739c13ea7
20260509000000	mysql	same_content	crates/aether-data/migrations/mysql/20260509000000_add_background_tasks.sql	a2603c048278b2cf93058641b702ff8b7044a243d038e15ecbe014d02acf2371	crates/aether-data/adapters/mysql/migrations/20260509000000_add_background_tasks.sql	a2603c048278b2cf93058641b702ff8b7044a243d038e15ecbe014d02acf2371
20260509000000	postgres	same_content	crates/aether-data/migrations/postgres/20260509000000_add_background_tasks.sql	29fb6a853e8e19a1464b007083f80d68e351ec0a1c6b71ce2c7f7d553dc01c62	crates/aether-data/adapters/postgres/migrations/20260509000000_add_background_tasks.sql	29fb6a853e8e19a1464b007083f80d68e351ec0a1c6b71ce2c7f7d553dc01c62
20260509000000	sqlite	same_content	crates/aether-data/migrations/sqlite/20260509000000_add_background_tasks.sql	b3b5762d7a42986c3fc53f2ddbde5f6c18ca24497c32e4cc0b0bca3e89f4414f	crates/aether-data/adapters/sqlite/migrations/20260509000000_add_background_tasks.sql	b3b5762d7a42986c3fc53f2ddbde5f6c18ca24497c32e4cc0b0bca3e89f4414f
20260509120000	mysql	same_content	crates/aether-data/migrations/mysql/20260509120000_add_user_groups.sql	44cc2eda761bedf3a27155b10402fa42d54e9168488ffae7677e7b0ded34a7e6	crates/aether-data/adapters/mysql/migrations/20260509120000_add_user_groups.sql	44cc2eda761bedf3a27155b10402fa42d54e9168488ffae7677e7b0ded34a7e6
20260509120000	postgres	same_content	crates/aether-data/migrations/postgres/20260509120000_add_user_groups.sql	4e207e6d8ffa73e82e3853f28dad4bce8cbadccfffdc8bc75051e40259a02901	crates/aether-data/adapters/postgres/migrations/20260509120000_add_user_groups.sql	4e207e6d8ffa73e82e3853f28dad4bce8cbadccfffdc8bc75051e40259a02901
20260509120000	sqlite	same_content	crates/aether-data/migrations/sqlite/20260509120000_add_user_groups.sql	cd7715deda69f75db3f462aad6d8468b96932dc414103e70f36d8b37ef75b622	crates/aether-data/adapters/sqlite/migrations/20260509120000_add_user_groups.sql	cd7715deda69f75db3f462aad6d8468b96932dc414103e70f36d8b37ef75b622
20260510000000	postgres	same_content	crates/aether-data/migrations/postgres/20260510000000_normalize_management_token_jsonb.sql	5f101c3871754a6c748c85759dc6df77a60efa55771ef1a8ea5c1a0c353e015a	crates/aether-data/adapters/postgres/migrations/20260510000000_normalize_management_token_jsonb.sql	5f101c3871754a6c748c85759dc6df77a60efa55771ef1a8ea5c1a0c353e015a
20260510120000	mysql	same_content	crates/aether-data/migrations/mysql/20260510120000_normalize_empty_user_policy_modes.sql	e9f3c89efab3ac7b283f5376b5361f294ac3b15446787e893e736b2e4393f962	crates/aether-data/adapters/mysql/migrations/20260510120000_normalize_empty_user_policy_modes.sql	e9f3c89efab3ac7b283f5376b5361f294ac3b15446787e893e736b2e4393f962
20260510120000	postgres	same_content	crates/aether-data/migrations/postgres/20260510120000_normalize_empty_user_policy_modes.sql	5959b58d5862e7601a1bab18d88e4e7c5f841a5387e63933c63505832f22a94f	crates/aether-data/adapters/postgres/migrations/20260510120000_normalize_empty_user_policy_modes.sql	5959b58d5862e7601a1bab18d88e4e7c5f841a5387e63933c63505832f22a94f
20260510120000	sqlite	same_content	crates/aether-data/migrations/sqlite/20260510120000_normalize_empty_user_policy_modes.sql	d5b7e41c458d9b092e80c93fedd95e18d7a6d870fc1871b6c9b3379a1173753c	crates/aether-data/adapters/sqlite/migrations/20260510120000_normalize_empty_user_policy_modes.sql	d5b7e41c458d9b092e80c93fedd95e18d7a6d870fc1871b6c9b3379a1173753c
20260511000000	postgres	same_content	crates/aether-data/migrations/postgres/20260511000000_add_provider_api_key_pool_sort_indexes.sql	d8cb2fc3b2b6f16e61e79c5eb30e50ee038e23ed63ae20ac0e8b5eb083b0507a	crates/aether-data/adapters/postgres/migrations/20260511000000_add_provider_api_key_pool_sort_indexes.sql	d8cb2fc3b2b6f16e61e79c5eb30e50ee038e23ed63ae20ac0e8b5eb083b0507a
20260511120000	mysql	same_content	crates/aether-data/migrations/mysql/20260511120000_exclude_admins_from_default_user_group.sql	5227c6032eae67499f8d4c29b9ea1862239a6b3c88d5d050ce19a179a4f6467f	crates/aether-data/adapters/mysql/migrations/20260511120000_exclude_admins_from_default_user_group.sql	5227c6032eae67499f8d4c29b9ea1862239a6b3c88d5d050ce19a179a4f6467f
